minute_index,hour,minute,duration_ms,n_observations
0,0,0,2366,2
1,0,1,2366,2
2,0,2,2317,2
3,0,3,2234,2
4,0,4,2316,2
5,0,5,2350,2
6,0,6,2233,2
7,0,7,2350,2
8,0,8,2250,2
9,0,9,2334,2
10,0,10,2250,2
11,0,11,2266,2
12,0,12,2266,2
13,0,13,2233,2
14,0,14,2350,2
15,0,15,2216,2
16,0,16,2300,2
17,0,17,2300,2
18,0,18,2250,2
19,0,19,2316,2
20,0,20,2200,2
21,0,21,2300,2
22,0,22,2250,2
23,0,23,2384,2
24,0,24,2200,2
25,0,25,2267,2
26,0,26,2300,2
27,0,27,2216,2
28,0,28,2250,2
29,0,29,2300,2
30,0,30,2233,2
31,0,31,2216,2
32,0,32,2250,2
33,0,33,2283,2
34,0,34,2217,2
35,0,35,2283,2
36,0,36,2217,2
37,0,37,2216,2
38,0,38,2250,2
39,0,39,2266,2
40,0,40,2217,2
41,0,41,2266,2
42,0,42,2234,2
43,0,43,2216,2
44,0,44,2250,2
45,0,45,2200,2
46,0,46,2234,2
47,0,47,2200,2
48,0,48,2250,2
49,0,49,2200,2
50,0,50,2216,2
51,0,51,2266,2
52,0,52,2184,2
53,0,53,2217,2
54,0,54,2233,2
55,0,55,2216,2
56,0,56,2250,2
57,0,57,2217,2
58,0,58,2200,2
59,0,59,2216,2
60,1,0,2216,2
61,1,1,2200,2
62,1,2,2250,2
63,1,3,2166,2
64,1,4,2217,2
65,1,5,2266,2
66,1,6,2167,2
67,1,7,2233,2
68,1,8,2184,2
69,1,9,2200,2
70,1,10,2216,2
71,1,11,2166,2
72,1,12,2278,3
73,1,13,2311,3
74,1,14,2256,3
75,1,15,2267,3
76,1,16,2233,3
77,1,17,2334,3
78,1,18,2244,3
79,1,19,2233,3
80,1,20,2278,3
81,1,21,2233,3
82,1,22,2278,3
83,1,23,2250,4
84,1,24,2250,4
85,1,25,2300,4
86,1,26,2266,4
87,1,27,2250,4
88,1,28,2225,4
89,1,29,2625,4
90,1,30,1908,4
91,1,31,2234,4
92,1,32,2292,4
93,1,33,2234,4
94,1,34,2258,4
95,1,35,2225,4
96,1,36,2250,4
97,1,37,2250,4
98,1,38,2192,4
99,1,39,2234,4
100,1,40,2258,4
101,1,41,2200,4
102,1,42,2208,4
103,1,43,2250,4
104,1,44,2242,4
105,1,45,2200,4
106,1,46,2225,4
107,1,47,2225,4
108,1,48,2200,4
109,1,49,2183,4
110,1,50,2200,4
111,1,51,2208,4
112,1,52,2242,4
113,1,53,2175,4
114,1,54,2184,4
115,1,55,2208,4
116,1,56,2183,4
117,1,57,2208,4
118,1,58,2167,4
119,1,59,2192,4
120,2,0,2200,4
121,2,1,2200,4
122,2,2,2192,4
123,2,3,2150,4
124,2,4,2216,4
125,2,5,2158,4
126,2,6,2175,4
127,2,7,2217,4
128,2,8,2150,4
129,2,9,2192,4
130,2,10,2167,4
131,2,11,2158,4
132,2,12,2175,4
133,2,13,2208,4
134,2,14,2125,4
135,2,15,2184,4
136,2,16,2141,4
137,2,17,2200,4
138,2,18,2142,4
139,2,19,2166,4
140,2,20,2200,4
141,2,21,2117,4
142,2,22,2184,4
143,2,23,2166,4
144,2,24,2150,4
145,2,25,2150,4
146,2,26,2183,4
147,2,27,2150,4
148,2,28,2189,3
149,2,29,2156,3
150,2,30,2133,3
151,2,31,2189,3
152,2,32,2155,3
153,2,33,2178,3
154,2,34,2189,3
155,2,35,2122,3
156,2,36,2211,3
157,2,37,2145,3
158,2,38,2156,3
159,2,39,2200,3
160,2,40,2078,3
161,2,41,2178,3
162,2,42,2178,3
163,2,43,2189,3
164,2,44,2144,3
165,2,45,2155,3
166,2,46,2145,3
167,2,47,2178,3
168,2,48,2200,3
169,2,49,2178,3
170,2,50,2133,3
171,2,51,2178,3
172,2,52,2200,3
173,2,53,2189,3
174,2,54,2144,3
175,2,55,2200,3
176,2,56,2156,3
177,2,57,2166,3
178,2,58,2167,3
179,2,59,2178,3
180,3,0,2155,3
181,3,1,2233,3
182,3,2,2111,3
183,3,3,2189,3
184,3,4,2144,3
185,3,5,2223,3
186,3,6,2166,3
187,3,7,2167,3
188,3,8,2200,3
189,3,9,2167,3
190,3,10,2178,3
191,3,11,2167,3
192,3,12,2178,3
193,3,13,2133,3
194,3,14,2233,3
195,3,15,2144,3
